species,cs_flux,carbon,growth
Sphingomonas paucimobilis,2.0,Ribose,0.2812595430484019
Agrobacterium tumefaciens,8.0,Ribose,1.1250381721936096
Alcaligenes faecalis,8.0,Ribose,1.0655081436084488
Delftia acidovorans,8.0,Ribose,0.0
Pandoraea vervacti,8.0,Ribose,1.1250381721936102
Pantoea agglomerans,8.0,Ribose,1.0736153437526186
Pseudomonas asiatica,8.0,Ribose,1.0869942071587677
Pseudomonas delhiensis,8.0,Ribose,1.0924306481782518
Sphingomonas paucimobilis,8.0,Ribose,1.1250381721936076
Agrobacterium tumefaciens,0.25,Glycerol,0.034387889869692
Alcaligenes faecalis,0.25,Glycerol,0.03438647057369164
Delftia acidovorans,0.25,Glycerol,0.03438772867174443
Pandoraea vervacti,0.25,Glycerol,0.034387889869692025
Pantoea agglomerans,0.25,Glycerol,0.034386228797296005
Pseudomonas asiatica,0.25,Glycerol,0.034386631759844404
Pseudomonas delhiensis,0.25,Glycerol,0.03438788986969202
Sphingomonas paucimobilis,0.25,Glycerol,0.03438788986969209
Agrobacterium tumefaciens,0.5,Glycerol,0.06877577973938416
Alcaligenes faecalis,0.5,Glycerol,0.06877294114738333
Delftia acidovorans,0.5,Glycerol,0.068775457343489
Pandoraea vervacti,0.5,Glycerol,0.06877577973938405
Pantoea agglomerans,0.5,Glycerol,0.06877245759459212
Pseudomonas asiatica,0.5,Glycerol,0.06877326351968858
Pseudomonas delhiensis,0.5,Glycerol,0.06877577973938426
Sphingomonas paucimobilis,0.5,Glycerol,0.06877577973938395
Agrobacterium tumefaciens,1.0,Glycerol,0.1375515594787679
Alcaligenes faecalis,1.0,Glycerol,0.13754588229476666
Delftia acidovorans,1.0,Glycerol,0.13755091468697841
Pandoraea vervacti,1.0,Glycerol,0.1375515594787681
Pantoea agglomerans,1.0,Glycerol,0.13754491518918427
Pseudomonas asiatica,1.0,Glycerol,0.1375465270393774
Pseudomonas delhiensis,1.0,Glycerol,0.13755155947876813
Sphingomonas paucimobilis,1.0,Glycerol,0.1375515594787679
Agrobacterium tumefaciens,4.0,Glycerol,0.5502062379150754
Alcaligenes faecalis,4.0,Glycerol,0.5501835291790682
Delftia acidovorans,4.0,Glycerol,0.5502036587479114
Pandoraea vervacti,4.0,Glycerol,0.5502062379150724
