metabolite,name,formula,carbon_atom
coucoa_c,P coumaroyl CoA C30H38N7O18P3S1,C30H38N7O18P3S,Presence
creat_e,Creatine cytosol,C4H9N3O2,Presence
creat_p,Creatine cytosol,C4H9N3O2,Presence
cynt_c,Cyanate,CNO,Presence
cynt_e,Cyanate,CNO,Presence
cynt_p,Cyanate,CNO,Presence
dgsn_e,Deoxyguanosine,C10H13N5O4,Presence
dgsn_p,Deoxyguanosine,C10H13N5O4,Presence
dha_p,Dihydroxyacetone,C3H6O3,Presence
din_e,Deoxyinosine,C10H12N4O4,Presence
din_p,Deoxyinosine,C10H12N4O4,Presence
dms_e,Dimethyl sulfide,C2H6S,Presence
dms_p,Dimethyl sulfide,C2H6S,Presence
dmso_e,Dimethyl sulfoxide,C2H6OS,Presence
dmso_p,Dimethyl sulfoxide,C2H6OS,Presence
dopa_e,Dopamine,C8H12NO2,Presence
dopa_p,Dopamine,C8H12NO2,Presence
fer_c,Ferulate,C10H9O4,Presence
ferulcoa_c,Feruloyl-CoA,C31H40N7O19P3S,Presence
g1p_e,D-Glucose 1-phosphate,C6H11O9P,Presence
g1p_p,D-Glucose 1-phosphate,C6H11O9P,Presence
g3pe_e,Sn-Glycero-3-phosphoethanolamine,C5H14NO6P,Presence
ga_c,Gallic acid,C7H5O5,Presence
ga_e,Gallic acid,C7H5O5,Presence
ga_p,Gallic acid,C7H5O5,Presence
gal1p_e,Alpha-D-Galactose 1-phosphate,C6H11O9P,Presence
gal1p_p,Alpha-D-Galactose 1-phosphate,C6H11O9P,Presence
galt_p,Galactitol,C6H14O6,Presence
gam_p,D-Glucosamine,C6H14NO5,Presence
gcvHL_ADPr_c,N-Lipoyl ADP-ribose gcvh-L protein,C23H36N6O21P4S2,Presence
gcvHL_nhLA_c,N-Lipoyl gcvh-L protein,C8H16NO8P2S2,Presence
gdp_e,GDP C10H12N5O11P2,C10H12N5O11P2,Presence
gdp_p,GDP C10H12N5O11P2,C10H12N5O11P2,Presence
glcn_e,D-Gluconate,C6H11O7,Presence
glcur1p_e,D-Glucuronate 1-phosphate,C6H8O10P,Presence
glcur1p_p,D-Glucuronate 1-phosphate,C6H8O10P,Presence
glyald_p,D-Glyceraldehyde,C3H6O3,Presence
glyc__R_e,(R)-Glycerate,C3H5O4,Presence
glyc__R_p,(R)-Glycerate,C3H5O4,Presence
gtp_e,GTP C10H12N5O14P3,C10H12N5O14P3,Presence
gtp_p,GTP C10H12N5O14P3,C10H12N5O14P3,Presence
h2s_p,Hydrogen sulfide,H2S,Absence
hchol_c,26-Hydroxycholest-4-en-3-one,C27H42O2,Presence
hcholc3coa_c,CoA-20-hydroxy-cholest-4-en-3-one C5 side chain,C43H65N7O19P3S,Presence
hcholc5coa_c,CoA-22-hydroxy-cholest-4-en-3-one C5 side chain,C45H68N7O19P3S,Presence
hcholc8coa_c,CoA-24-hydroxy-cholest-4-en-3-one C8 side chain,C48H74N7O19P3S,Presence
hhd_c,"(2Z,4Z)-2-Hydroxyhexa-2,4-dienoic acid",C6H8O3,Presence
